UNIX Timestamp,ECG,HR,RR,Marker,datetime_utc,datetime_local,elapsed_seconds
1776408534191670688,0.39,,,,2026-04-17 06:48:54.191670 UTC,2026-04-17 06:48:54.191670,1.707588422
1776408534199362756,0.387,,,,2026-04-17 06:48:54.199362 UTC,2026-04-17 06:48:54.199362,1.71528049
1776408534207054824,0.372,,,,2026-04-17 06:48:54.207054 UTC,2026-04-17 06:48:54.207054,1.722972558
1776408534214746892,0.338,,,,2026-04-17 06:48:54.214746 UTC,2026-04-17 06:48:54.214746,1.730664626
1776408534222438960,0.289,,,,2026-04-17 06:48:54.222438 UTC,2026-04-17 06:48:54.222438,1.738356694
1776408534230131028,0.247,,,,2026-04-17 06:48:54.230131 UTC,2026-04-17 06:48:54.230131,1.746048762
1776408534237823096,0.193,,,,2026-04-17 06:48:54.237823 UTC,2026-04-17 06:48:54.237823,1.75374083
1776408534245515164,0.144,,,,2026-04-17 06:48:54.245515 UTC,2026-04-17 06:48:54.245515,1.761432898
1776408534253207232,0.115,,,,2026-04-17 06:48:54.253207 UTC,2026-04-17 06:48:54.253207,1.769124966
1776408534260899300,0.085,,,,2026-04-17 06:48:54.260899 UTC,2026-04-17 06:48:54.260899,1.776817034
1776408534268591368,0.051,,,,2026-04-17 06:48:54.268591 UTC,2026-04-17 06:48:54.268591,1.784509102
1776408534276283436,0.019,,,,2026-04-17 06:48:54.276283 UTC,2026-04-17 06:48:54.276283,1.79220117
1776408534283975504,-0.004,,,,2026-04-17 06:48:54.283975 UTC,2026-04-17 06:48:54.283975,1.799893238
1776408534291667572,-0.007,,,,2026-04-17 06:48:54.291667 UTC,2026-04-17 06:48:54.291667,1.807585306
1776408534299359640,-0.019,,,,2026-04-17 06:48:54.299359 UTC,2026-04-17 06:48:54.299359,1.815277374
1776408534307051708,-0.046,,,,2026-04-17 06:48:54.307051 UTC,2026-04-17 06:48:54.307051,1.822969442
1776408534314743776,-0.022,,,,2026-04-17 06:48:54.314743 UTC,2026-04-17 06:48:54.314743,1.83066151
